;task_id;short;y;final_cause_area
0;3859158;Fundraising Leader;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'calculate probabilities', 'carry out calculations', 'cope with stress', 'delegate responsibilities', 'demonstrate curiosity', 'demonstrate loyalty', 'instruct others', 'lead others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show confidence', 'show determination', 'show initiative', 'think creatively'];Social and health
1;3917001;Senior Bingo;['address an audience', 'advise others', 'approach challenges positively', 'build team spirit', 'ensure customer orientation', 'instruct others', 'maintain psychological well-being', 'motivate others', 'organise information, objects & resources', 'participate actively in civic life', 'plan ', 'promote ideas, products, services ', 'respect the diversity of cultural values and norms', 'show empathy'];Social and health
2;3329161;Hospice companionship Santa Cruz;['advise others', 'apply hygiene standards', 'apply knowledge of philosophy, ethics & religion', 'approach challenges positively', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'ensure customer orientation', 'instruct others', 'maintain psychological well-being', 'manage frustration', 'motivate others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show confidence', 'show empathy'];Social and health
3;3892093;MANDARIN SPEAKERS;['address an audience', 'assume responsibility', 'demonstrate trustworthiness', 'ensure customer orientation', 'list of languages', 'maintain psychological well-being', 'moderate a discussion', 'motivate others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show empathy', 'show initiative'];Social and health
4;3891969;Hospice Tuck-In Caller;['apply knowledge of philosophy, ethics & religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage personal progression', 'manage time', 'meet commitments', 'organise information, objects & resources', 'protect the health of others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'work independently'];Social and health
5;3863002;Volunteer Support Assistant;['assume responsibility', 'attend to detail', 'comply with regulations', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'manage time', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'report facts', 'respect confidentiality obligations', 'use communication & collaboration SW', 'work efficiently'];Social and health
6;3917085;Join our Fundraising & Marketing Committee!;['advise others', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'build networks', 'carry out calculations', 'comply with regulations', 'demonstrate curiosity', 'demonstrate intercultural competence', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'instruct others', 'lead others', 'manage financial and material resources', 'manage quality', 'meet commitments', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'think analytically', 'think critically', 'think holistically', 'use communication & collaboration SW', 'work in teams'];Social and health
7;2785619;Hospiz Gift Card;['demonstrate willingness to learn', 'express yourself creatively', 'keep an open mind', 'manage time', 'think creatively', 'use equipment, tools or technology with precision', 'work independently'];Social and health
8;3848221;Advocacy Partner;['apply knowledge of science, technology & engineering', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'create digital content', 'demonstrate awareness of health risks ', 'make decisions', 'manage financial and material resources', 'manage quality', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show determination', 'show entrepreneurial spirit', 'show initiative', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'work independently'];Social and health
9;3220527;Veterans Hospice;['apply hygiene standards', 'apply knowledge of philosophy, ethics & religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage time', 'meet commitments', 'organise information, objects & resources', 'protect the health of others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'work independently'];Social and health
